subid,sa,tb_200,tb_400,tb_1200,MI,LoC,tb_agency,sa_agency
1,0.10356,0.097441,0.20975,0.1372,14,10,6,5
2,-0.11835,0.038368,0.060789,0.1745,10,7,4,1
3,0.039902,0.094271,0.24992,-0.0097991,4,11,5,4
4,-0.060304,0.39055,0.43147,0.33573,10,9,8.5,7.5
5,0.087282,0.0136,0.20877,0.092724,8,6,8,4
6,-0.015594,0.13271,0.2494,0.4757,10,3,8,2
7,-0.2011,0.16226,0.151,0.1854,16,14,1,8
8,0.095052,0.086426,0.2876,0.3134,16,14,8,1
9,0.735,-0.0029313,0.2051,0.58172,5,6,3,4.5
10,0.06454,0.064475,0.4915,0.31914,9,17,4.5,4.5
11,0.057167,0.23664,0.32315,0.36027,9,3,8.5,3.5
12,-0.40056,0.0032693,0.20987,0.044331,2,15,1,1
13,0.028447,0.031475,0.17546,-0.046651,20,11,5,6.5
14,-0.12148,0.17566,0.41725,0.29955,19,18,9,9
15,0.19091,0.076122,0.15227,0.1709,3,10,7.5,2.5
16,-0.12125,0.069621,0.19659,0.39626,16,8,7.5,8
17,0.048217,0.0016923,0.0032174,0.012848,8,13,9,9
18,0.17001,0.042337,0.19943,0.59498,3,20,9,9
19,0.14965,0.021673,0.019154,-0.0039435,11,16,8.5,2.5
20,0.18163,0.10657,0.26608,0.54356,25,18,9,9
21,0.033559,0.071156,0.15525,0.29766,9,16,9,3
22,-0.28793,-0.010573,-0.072891,0.29959,10,18,2.5,2.5
23,0.24206,0.052605,0.065493,-0.043176,16,6,7.5,6.5
24,0.054165,0.045316,0.24695,0.072036,14,10,5.5,6
25,0.25302,-0.037535,0.29326,0.39262,6,7,3,6.5
26,0.01916,0.010674,0.45276,0.15376,4,7,9,3
27,-0.27167,0.00060221,0.18716,0.059809,19,14,1,9
28,-0.47331,0.047156,0.28056,0.44556,14,9,7.5,6
29,0.089045,0.11494,0.15515,0.10628,4,11,6.5,4
30,0.1613,0.15747,0.35692,0.38652,0,5,9,1
31,0.01558,0.12253,0.17862,0.45855,13,17,7.5,7
32,-0.060334,0.19403,0.26582,0.34851,9,7,8.5,8.5
33,0.077617,0.023764,0.12695,0.19289,6,9,3.5,6.5
34,0.01816,0.17177,0.31028,0.35762,7,9,8,5.5
35,0.073094,0.10652,0.31017,0.67121,8,8,9,8.5
36,-0.53704,0.050923,0.070515,-0.031268,15,16,5,5
37,0.10029,0.063484,0.45907,0.21424,17,13,6.5,6.5
38,-0.35718,-0.6292,-0.48082,-0.040076,6,4,8.5,7.5
39,-0.0068672,0.16463,0.27119,0.10421,15,10,5.5,8
40,0.074456,0.17687,0.053843,0.19707,6,15,8.5,8.5
41,0.096688,0.051211,0.11714,0.055202,13,9,9,9
42,0.066635,0.12509,0.26746,0.43558,1,4,8.5,9
43,0.037511,-0.02256,0.10839,0.16391,11,16,8.5,2
44,-0.073628,0.039396,0.15087,0.16045,4,13,9,9
45,0.14135,0.13418,0.1822,0.38398,14,11,7.5,4.5
46,-0.20817,0.07931,-0.025919,-0.078289,1,11,9,9
47,0.18943,0.055946,0.20465,0.3878,8,12,7,8
48,0.17878,0.13812,0.41317,0.35754,11,10,9,9
49,0.60194,0.04242,0.22302,0.17274,10,12,9,9
50,-0.035722,-0.014221,0.0067369,-0.03682,10,10,8,8.5
51,0.022567,0.10498,0.2817,0.4029,10,8,8,8
52,0.33223,0.059108,0.32248,0.57949,4,12,8.5,8.5
53,0.012693,-0.021791,0.36622,0.22655,6,9,8,8
54,-0.19039,0.095974,0.34296,0.068748,7,10,6.5,4.5
55,-0.050835,0.16125,0.34173,0.19044,2,11,3,3
56,0.31219,0.24794,0.30571,0.21,12,16,8,7
57,0.29584,0.083945,0.3839,0.40016,12,11,7,9
58,0.31122,0.041393,0.29244,0.42816,0,4,7.5,8
59,-0.012578,0.0052783,0.098852,0.17294,10,9,5.5,3.5
60,0.0011522,0.051321,0.20863,0.37727,18,15,1,3
61,0.11183,0.17149,0.29003,0.54052,5,19,9,5
62,0.044864,-0.0030763,0.0018992,-0.0038606,5,5,4,5
63,0.19341,0.089965,0.24446,0.12018,9,7,7.5,4
64,-0.05124,-0.076875,0.20273,0.5977,6,15,5.5,4.5
65,-0.063743,-0.00041888,-0.02161,0.1067,9,17,8,5.5
66,0.030206,0.051919,0.30912,0.41379,14,9,7.5,1
67,0.24887,-0.016881,0.19367,-0.04401,19,17,8,2.5
68,-0.052973,0.22306,0.45007,0.60999,4,8,6.5,9
69,0.15808,0.59669,0.66491,0.65878,13,7,7.5,5.5
70,0.10386,0.26867,0.35949,0.3613,17,7,9,2.5
71,-0.12837,0.20477,0.32196,0.41748,4,5,9,8.5
72,-0.05664,-0.011976,0.0032107,0.012696,21,20,7.5,1.5
73,0.11377,0.0069078,0.036965,0.2221,14,14,8.5,7
74,0.02163,-0.04179,0.087138,0.040951,15,18,9,9
75,0.11803,0.019847,0.0034291,0.18125,8,14,7,7
76,0.17266,-0.029156,0.0028504,0.059041,13,6,7.5,4.5
77,-0.025566,0.27127,0.56235,0.53063,4,6,8.5,9
78,-0.1628,0.21318,0.26587,0.13452,12,10,7.5,9
